SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,LatLng
WW933,600 HARVARD BLVD,Single-Space,FLAT,$1.50,2HR,"(34.062356, -118.304041)"
GA59,3201 GLENDALE BLVD,Single-Space,FLAT,$1.50,2HR,"(34.118064, -118.260934)"
SL236,2701 SUNSET BLVD,Single-Space,FLAT,$1.50,2HR,"(34.081598, -118.271281)"
SP545,400 7TH ST,Single-Space,FLAT,$1.50,2HR,"(33.73792, -118.286696)"
LH166,2600 PASADENA AVE,Single-Space,FLAT,$1.50,1HR,"(34.077428, -118.215298)"
W154,9601 VICKSBURG AVE,Single-Space,FLAT,$1.50,2HR,"(33.948072, -118.394)"
WW1956A,3751 7TH ST,Single-Space,FLAT,$1.50,2HR,"(34.059767, -118.308592)"
CB2223,700 SAN JULIAN ST,Single-Space,TOD,$1.00 - $6.00,2HR,"(34.03979, -118.249088)"
PM67,3700 CARDIFF AVE,Single-Space,FLAT,$1.50,1HR,"(34.025275, -118.39619)"
CB565,1200 SANTEE ST,Single-Space,TOD,$1.00 - $5.00,2HR,"(34.036013, -118.257475)"
CB3034,201 4TH ST,Single-Space,TOD,$1.00 - $7.00,2HR,"(34.047109, -118.245841)"
YO71,5000 YORK BLVD,Single-Space,FLAT,$1.50,15MIN,"(34.121098, -118.205336)"
LT98,300 1ST ST,Single-Space,FLAT,$3.00,2HR,"(34.04941, -118.23965)"
WF268,7900 3RD ST,Single-Space,FLAT,$1.50,2HR,"(34.071694, -118.363327)"
VW190,2901 8TH ST,Single-Space,FLAT,$1.50,1HR,"(34.057817, -118.290996)"
SV292A,1401 IVAR AVE,Single-Space,TOD,$1.00 - $3.00,2HR,"(34.09653, -118.328887)"
MV161,12200 VENICE BLVD,Single-Space,FLAT,$1.50,2HR,"(34.0043, -118.432007)"
WU487,1000 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.052093, -118.263124)"
LM445,301 LA BREA AVE,Single-Space,FLAT,$1.50,2HR,"(34.077914, -118.344164)"
LC203,100 SWEETZER AVE,Single-Space,FLAT,$1.50,2HR,"(34.075801, -118.36994)"
SL126,2500 HYPERION AVE,Single-Space,FLAT,$1.50,2HR,"(34.10492, -118.272928)"
LH118,2701 NORTH BROADWAY,Single-Space,FLAT,$1.50,1HR,"(34.073769, -118.213831)"
TZ303,19601 VENTURA BLVD,Single-Space,FLAT,$1.50,1HR,"(34.172796, -118.561308)"
VS180,4601 SUNSET BLVD,Single-Space,FLAT,$1.50,15MIN,"(34.098247, -118.290274)"
CB3829,801 SANTEE ST,Single-Space,TOD,$1.00 - $7.00,2HR,"(34.040862, -118.2524)"
VN818,6200 VAN NUYS BLVD,Single-Space,FLAT,$1.50,30MIN,"(34.183138, -118.448568)"
SV669,1301 LA BREA AVE,Single-Space,FLAT,$1.00,2HR,"(34.095452, -118.344219)"
CC1574,301 BROADWAY,Single-Space,TOD,$3.00 - $5.00,2HR,"(34.049883, -118.249116)"
WA136,601 WESTLAKE AVE,Single-Space,FLAT,$1.50,1HR,"(34.058219, -118.274221)"
CT584A,1000 NORTH BROADWAY,Single-Space,FLAT,$1.00,4HR,"(34.067567, -118.234851)"
BF249,7701 MELROSE AVE,Single-Space,FLAT,$1.50,2HR,"(34.083808, -118.357764)"
SS599,12000 OHIO AVE,Single-Space,FLAT,$1.50,1HR,"(34.040465, -118.46246)"
HO967,1701 WHITLEY AVE,Single-Space,TOD,$1.50 - $3.00,2HR,"(34.10243, -118.333405)"
CB3296,501 9TH ST,Single-Space,TOD,$1.00 - $4.00,4HR,"(34.044696, -118.259569)"
CB1563,1001 MAPLE AVE,Single-Space,TOD,$1.00 - $7.00,2HR,"(34.03803, -118.254432)"
WW1336A,500 WESTERN AVE,Single-Space,FLAT,$1.50,1HR,"(34.080829, -118.308999)"
CB1350,1200 HOPE ST,Single-Space,FLAT,$1.00,4HR,"(34.040427, -118.264633)"
BF702A,7700 BEVERLY BLVD,Single-Space,FLAT,$1.50,1HR,"(34.07602, -118.357991)"
CB2826,1601 OLIVE ST,Single-Space,FLAT,$1.00,4HR,"(34.034761, -118.265864)"
CB2210,801 SAN JULIAN ST,Single-Space,TOD,$1.00 - $6.00,2HR,"(34.038399, -118.250914)"
WA1588,1601 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.045148, -118.277821)"
TZ460,18800 VENTURA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.171636, -118.543397)"
CB607,301 11TH ST,Single-Space,TOD,$1.00 - $7.00,2HR,"(34.037355, -118.255376)"
TZ156,18701 VENTURA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.171021, -118.541281)"
HW306A,5101 HOLLYWOOD BLVD,Single-Space,FLAT,$1.50,1HR,"(34.101842, -118.303043)"
WU461,600 LUCAS AVE,Single-Space,FLAT,$1.50,2HR,"(34.052519, -118.265079)"
BF698,8100 MELROSE AVE,Single-Space,FLAT,$1.50,2HR,"(34.083639, -118.3666)"
SV179,6701 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,"(34.09808, -118.337158)"
VN794A,6150 VAN NUYS BLVD,Single-Space,FLAT,$1.50,30MIN,"(34.18208, -118.448566)"
SH272,1001 LAS PALMAS AVE,Single-Space,FLAT,$1.50,4HR,"(34.089556, -118.336348)"
WS161,10901 ROCHESTER AVE,Single-Space,FLAT,$1.50,2HR,"(34.05615, -118.442635)"
VW1593,2501 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.047336, -118.293129)"
WW2708,3501 7TH ST,Single-Space,FLAT,$1.50,2HR,"(34.059794, -118.303606)"
VH127,4701 HOLLYWOOD BLVD,Single-Space,FLAT,$1.50,1HR,"(34.101866, -118.294269)"
VN144,14500 HAYNES ST,Single-Space,FLAT,$1.50,2HR,"(34.189636, -118.449551)"
VN723A,6300 SYLMAR AVE,Single-Space,FLAT,$1.50,2HR,"(34.18531, -118.446466)"
WA419,800 ALVARADO ST,Single-Space,FLAT,$1.50,1HR,"(34.054174, -118.278164)"
TZ615,18700 BURBANK BLVD,Single-Space,FLAT,$1.50,2HR,"(34.172247, -118.540948)"
WA1463,1300 BURLINGTON AVE,Single-Space,FLAT,$1.50,2HR,"(34.045094, -118.279135)"
CT451,700 YALE ST,Single-Space,FLAT,$1.00,4HR,"(34.062882, -118.240854)"
SL42,2601 HYPERION AVE,Single-Space,FLAT,$1.50,2HR,"(34.106371, -118.272587)"
WW1626,3100 8TH ST,Single-Space,FLAT,$1.50,1HR,"(34.057642, -118.297189)"
SG267,7601 SUNSET BLVD,Single-Space,FLAT,$1.50,1HR,"(34.098153, -118.356336)"
C463,501 33RD ST,Single-Space,FLAT,$1.50,2HR,"(34.022901, -118.278864)"
HO597,1700 WILCOX AVE,Single-Space,TOD,$1.00 - $5.00,2HR,"(34.102632, -118.330982)"
CB1783,1100 SANTEE ST,Single-Space,TOD,$1.00 - $6.00,2HR,"(34.036502, -118.257077)"
BF56,301 FAIRFAX AVE,Single-Space,FLAT,$1.50,2HR,"(34.076903, -118.361544)"
SL626,1301 LIBERTY ST,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.079841, -118.260808)"
LT371,301 BOYD ST,Single-Space,TOD,$1.00 - $5.00,2HR,"(34.046865, -118.24309)"
SV317,6200 SUNSET BLVD,Single-Space,TOD,$1.00 - $1.50,2HR,"(34.097903, -118.325606)"
WW2114,650 ST ANDREWS PL,Single-Space,FLAT,$1.50,1HR,"(34.061279, -118.311111)"
WA1586,1601 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.045051, -118.277609)"
TZ51,18300 CLARK ST,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.169722, -118.533587)"
HO538,1700 IVAR AVE,Single-Space,TOD,$1.50 - $5.00,2HR,"(34.102274, -118.328086)"
SV110,6501 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,"(34.098093, -118.331505)"
WB548,501 18TH ST,Single-Space,FLAT,$1.00,4HR,"(34.035534, -118.270205)"
OF84,5901 SAN VICENTE BLVD,Single-Space,FLAT,$1.50,2HR,"(34.057561, -118.36173)"
WP83A,3301 VIA DOLCE,Single-Space,FLAT,$1.00,2HR,"(33.97968, -118.462437)"
RS113,2801 ROBERTSON BLVD,Single-Space,FLAT,$1.50,1HR,"(34.035364, -118.389299)"
MD38,1000 KINGSTON AVE,Single-Space,FLAT,$1.50,4HR,"(34.056378, -118.209846)"
SV596,1500 LAS PALMAS AVE,Single-Space,FLAT,$1.00,2HR,"(34.098483, -118.336252)"
WU327,600 VALENCIA ST,Single-Space,FLAT,$1.50,2HR,"(34.055095, -118.267946)"
VW1943,900 WESTMORELAND AVE,Single-Space,FLAT,$1.50,2HR,"(34.055642, -118.289006)"
HO384,1600 EL CENTRO AVE,Single-Space,TOD,$4.00 - $5.00,2HR,"(34.100717, -118.323674)"
MV37,12201 VENICE BLVD,Single-Space,FLAT,$1.50,2HR,"(34.004732, -118.431888)"
YO63A,5000 YORK BLVD,Single-Space,FLAT,$1.50,1HR,"(34.121353, -118.206671)"
61428,40 WINDWARD AVE,Multi-Space,TOD,$0.50 - $1.50,1HR,"(33.987208, -118.472922)"
SS328,11700 SANTA MONICA BLVD,Single-Space,FLAT,$1.50,1HR,"(34.043135, -118.457179)"
LT457,600 3RD ST,Single-Space,FLAT,$1.00,2HR,"(34.04571, -118.238804)"
WS496,1601 PONTIUS AVE,Single-Space,FLAT,$1.50,1HR,"(34.048307, -118.44575)"
56809,10506 SANTA MONICA BLVD,Multi-Space,FLAT,$1.50,2HR,"(34.055207, -118.426895)"
MM143A,700 SYCAMORE AVE,Single-Space,FLAT,$1.50,2HR,"(34.061914, -118.342912)"
WA758,651 CARONDELET ST,Single-Space,FLAT,$1.50,1HR,"(34.058997, -118.281356)"
WS14,1700 WESTWOOD BLVD,Single-Space,FLAT,$1.50,2HR,"(34.051285, -118.438135)"
CB2340,1401 SAN PEDRO ST,Single-Space,FLAT,$1.00,4HR,"(34.03171, -118.254856)"
VW1953,1601 HOOVER ST,Single-Space,FLAT,$1.50,1HR,"(34.043347, -118.284279)"
MM9,701 STANLEY AVE,Single-Space,FLAT,$1.50,2HR,"(34.062043, -118.356148)"
VW652,3200 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.061681, -118.293151)"
WW1214,4200 3RD ST,Single-Space,FLAT,$1.50,1HR,"(34.068878, -118.307589)"
VW1888,300 KENMORE AVE,Single-Space,FLAT,$1.50,2HR,"(34.068738, -118.296571)"
WW736,600 ALEXANDRIA AVE,Single-Space,FLAT,$1.50,1HR,"(34.062491, -118.297841)"
CB2048,300 14TH ST,Single-Space,TOD,$1.00 - $1.50,2HR,"(34.033987, -118.258947)"
LT279,201 CENTRAL AVE,Single-Space,TOD,$1.00 - $4.00,2HR,"(34.04651, -118.239627)"
CB4317,201 12TH ST,Single-Space,TOD,$1.00 - $2.00,2HR,"(34.039067, -118.261525)"
CB673,401 OLYMPIC BLVD,Single-Space,TOD,$1.00 - $7.00,2HR,"(34.038123, -118.253638)"
TZ581,18700 PHILIPRIMM ST,Single-Space,FLAT,$1.50,2HR,"(34.172984, -118.541559)"
CB265,100 PICO BLVD,Single-Space,FLAT,$1.00,4HR,"(34.03736, -118.261774)"
C231,1000 BROWNING BLVD,Single-Space,FLAT,$1.50,2HR,"(34.01203, -118.292484)"
WF142,8400 3RD ST,Single-Space,FLAT,$1.50,2HR,"(34.073225, -118.375806)"
SVV236A,1101 VERMONT AVE,Single-Space,FLAT,$1.50,1HR,"(34.091899, -118.291863)"
P245,801 SWARTHMORE AVE,Single-Space,FLAT,$1.00,2HR,"(34.045899, -118.526254)"
PR343,1100 REXFORD DR,Single-Space,FLAT,$1.50,2HR,"(34.055697, -118.393813)"
PR578,5901 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.052133, -118.369356)"
TZ25,18401 VENTURA BLVD,Single-Space,FLAT,$1.50,1HR,"(34.168394, -118.534755)"
CB1112,151 PICO BLVD,Single-Space,FLAT,$1.00,4HR,"(34.037398, -118.261472)"
SP553,600 PACIFIC AVE,Single-Space,FLAT,$1.50,2HR,"(33.738217, -118.287814)"
SH447,1000 LILLIAN WAY,Single-Space,FLAT,$1.50,2HR,"(34.090467, -118.327678)"
V209,1500 PARK ROW,Single-Space,TOD,$1.00 - $3.00,1HR,"(33.988225, -118.4721)"
WW279,4351 3RD ST,Single-Space,FLAT,$1.50,1HR,"(34.069058, -118.309847)"
CB1852B,201 WINSTON ST,Single-Space,TOD,$1.50 - $4.00,2HR,"(34.045799, -118.24584)"
LC265,8101 BEVERLY BLVD,Single-Space,FLAT,$1.50,2HR,"(34.076186, -118.366126)"
CC1548,501 FIGUEROA ST,Single-Space,TOD,$1.00 - $1.50,4HR,"(34.061806, -118.246936)"
LH265,101 AVENUE 24,Single-Space,FLAT,$1.50,2HR,"(34.075797, -118.217048)"
CC1579,200 BROADWAY,Single-Space,FLAT,$3.00,2HR,"(34.051907, -118.247011)"
AE557,401 GAREY ST,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.051418, -118.2344)"
SS26,1601 SAWTELLE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.046866, -118.448836)"
ER38,2201 COLORADO BLVD,Single-Space,FLAT,$1.50,2HR,"(34.139402, -118.214943)"
VN428,6401 VESPER AVE,Single-Space,FLAT,$1.50,2HR,"(34.188179, -118.450967)"
VW397,650 CATALINA ST,Single-Space,FLAT,$1.50,1HR,"(34.060759, -118.295333)"
PR551,8501 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.053742, -118.377779)"
WV580,10801 LE CONTE AVE,Single-Space,TOD,$1.00 - $3.00,2HR,"(34.064066, -118.441686)"
RA161,8500 3RD ST,Single-Space,FLAT,$2.50,2HR,"(34.0735, -118.378835)"
LM529,7400 BEVERLY BLVD,Single-Space,FLAT,$1.50,2HR,"(34.076041, -118.352961)"
C1106,600 27TH ST,Single-Space,FLAT,$1.50,1HR,"(34.027154, -118.276949)"
VN127,14501 HAYNES ST,Single-Space,FLAT,$1.50,2HR,"(34.189744, -118.450157)"
CB2094,400 12TH ST,Single-Space,TOD,$1.00 - $3.00,2HR,"(34.035379, -118.256051)"
ED76A,1201 8TH ST,Single-Space,FLAT,$1.50,4HR,"(34.034738, -118.244496)"
WN277,101 G ST,Single-Space,FLAT,$1.50,2HR,"(33.778549, -118.263231)"
HO262,6500 SELMA AVE,Single-Space,TOD,$1.00 - $2.00,2HR,"(34.099705, -118.332194)"
SL590,2301 GLENDALE BLVD,Single-Space,FLAT,$1.50,2HR,"(34.099626, -118.259321)"
SVV405,700 HELIOTROPE DR,Single-Space,FLAT,$1.50,4HR,"(34.085175, -118.294866)"
HO256,6501 SELMA AVE,Single-Space,TOD,$1.00 - $4.00,2HR-30MIN,"(34.099828, -118.331601)"
LC160,8400 BEVERLY BLVD,Single-Space,FLAT,$1.50,2HR,"(34.075948, -118.373931)"
PR562,8601 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.054148, -118.379904)"
VN167,14501 HAMLIN ST,Single-Space,FLAT,$1.50,2HR,"(34.188746, -118.449896)"
AE655,700 COMMERCIAL ST,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.052734, -118.23238)"
LT235,400 3RD ST,Single-Space,FLAT,$1.00,4HR,"(34.046529, -118.2409)"
CC274,601 1ST ST,Single-Space,TOD,$5.00 - $7.00,4HR,"(34.05608, -118.249137)"
ED29,501 CERES AVE,Single-Space,FLAT,$1.00,4HR,"(34.040934, -118.240456)"
CB3880,601 FRANCISCO ST,Single-Space,TOD,$2.00 - $4.00,2HR,"(34.050607, -118.260858)"
WW139,200 WESTERN AVE,Single-Space,FLAT,$1.50,1HR,"(34.074977, -118.309047)"
WS428A,1600 SEPULVEDA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.048322, -118.444725)"
LT384,601 3RD ST,Single-Space,TOD,$3.00 - $4.00,2HR,"(34.04585, -118.238602)"
HW12A,1301 WESTERN AVE,Single-Space,FLAT,$1.50,1HR,"(34.096402, -118.309334)"
TZ234,19101 VENTURA BLVD,Single-Space,FLAT,$1.50,1HR,"(34.172727, -118.551569)"
LM234,701 LA BREA AVE,Single-Space,FLAT,$1.50,1HR,"(34.084705, -118.344178)"
56623,10630 SANTA MONICA BLVD,Multi-Space,FLAT,$1.50,2HR,"(34.052854, -118.430363)"
WW2453,3901 BEVERLY BLVD,Single-Space,FLAT,$1.50,2HR,"(34.076401, -118.294646)"
VN1131,6600 VAN NUYS BLVD,Single-Space,FLAT,$1.50,2HR,"(34.191335, -118.448572)"
ER50,2201 COLORADO BLVD,Single-Space,FLAT,$1.50,2HR,"(34.139548, -118.215751)"
LH10,200 AVENUE 22,Single-Space,FLAT,$1.50,2HR,"(34.073375, -118.217608)"
WS726,1700 MIDVALE AVE,Single-Space,FLAT,$1.50,2HR,"(34.049934, -118.438344)"
ED425,900 PICO BLVD,Single-Space,FLAT,$1.00,2HR,"(34.030627, -118.249178)"
WU1,1001 6TH ST,Single-Space,FLAT,$1.50,4HR,"(34.053693, -118.261013)"
WA697,650 RAMPART BLVD,Single-Space,FLAT,$1.50,1HR,"(34.059716, -118.283024)"
CC1383,601 GRAND AVE,Single-Space,TOD,$0.50 - $1.00,4HR,"(34.061219, -118.243354)"
WW513,650 HARVARD BLVD,Single-Space,FLAT,$1.50,2HR,"(34.060016, -118.304102)"
SV229,1401 WILCOX AVE,Single-Space,FLAT,$1.00,2HR,"(34.096803, -118.331093)"
PR503,1400 LA CIENEGA BLVD,Single-Space,FLAT,$1.50,1HR,"(34.052615, -118.376011)"
WB783,501 23RD ST,Single-Space,FLAT,$1.00,4HR,"(34.030486, -118.27359)"
UC106,3201 OAKSHIRE DR,Single-Space,FLAT,$1.50,1HR,"(34.130166, -118.350206)"
MM235,601 DUNSMUIR AVE,Single-Space,FLAT,$1.50,2HR,"(34.062627, -118.348349)"
MV31,3700 GRAND VIEW BLVD,Single-Space,FLAT,$1.50,1HR,"(34.005378, -118.431448)"
LH91,3001 NORTH BROADWAY,Single-Space,FLAT,$1.50,1HR,"(34.073832, -118.20956)"
ED715,901 STANFORD AVE,Single-Space,FLAT,$1.00,4HR,"(34.03488, -118.24801)"
CC800,101 FREMONT AVE,Single-Space,TOD,$1.00 - $2.00,4HR,"(34.058745, -118.252917)"
WA1072,1801 7TH ST,Single-Space,FLAT,$1.50,1HR,"(34.055188, -118.273801)"
CT74,601 NEW HIGH ST,Single-Space,TOD,$1.00 - $1.50,4HR,"(34.05903, -118.239229)"
PC139,1301 4TH AVE,Single-Space,FLAT,$1.50,2HR,"(34.046878, -118.321421)"
CB3707,501 MAIN ST,Single-Space,TOD,$1.00 - $5.00,2HR,"(34.045569, -118.249748)"
VW1912,3000 5TH ST,Single-Space,FLAT,$1.50,2HR,"(34.065114, -118.28604)"
VW348,600 CATALINA ST,Single-Space,FLAT,$1.50,1HR,"(34.062095, -118.295291)"
WW1609,3300 8TH ST,Single-Space,FLAT,$1.50,1HR,"(34.057624, -118.300281)"
RS73,2501 ROBERTSON BLVD,Single-Space,FLAT,$1.50,2HR,"(34.038765, -118.38837)"
CC1606,801 4TH ST,Single-Space,JUMP,$1/H - $4/10H,10HR,"(34.052811, -118.254115)"
WW2716,3601 7TH ST,Single-Space,FLAT,$1.50,2HR,"(34.059755, -118.305821)"
BF179,7500 MELROSE AVE,Single-Space,FLAT,$1.50,2HR,"(34.083587, -118.3548)"
VS322,4900 SUNSET BLVD,Single-Space,FLAT,$1.50,2HR,"(34.098022, -118.297455)"
PM177,3801 WATSEKA AVE,Single-Space,FLAT,$1.50,1HR,"(34.024049, -118.396691)"
LC240,8100 BEVERLY BLVD,Single-Space,FLAT,$1.50,2HR,"(34.075977, -118.36737)"
W10,6200 98TH ST,Single-Space,FLAT,$1.50,2HR,"(33.947269, -118.394403)"
BF341,8001 MELROSE AVE,Single-Space,FLAT,$1.50,2HR,"(34.083852, -118.365208)"
ED575D,901 CROCKER ST,Single-Space,FLAT,$1.00,4HR,"(34.035726, -118.249788)"
C1146,800 32ND ST,Single-Space,FLAT,$1.50,2HR,"(34.025202, -118.283002)"
WW2590,4000 BEVERLY BLVD,Single-Space,FLAT,$1.50,1HR,"(34.076226, -118.297046)"
SV940,6400 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,"(34.09789, -118.330726)"
SV488,6000 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,"(34.097933, -118.320753)"
SW235,5101 MELROSE AVE,Single-Space,FLAT,$1.50,1HR,"(34.083594, -118.312749)"
SV107,1501 WILCOX AVE,Single-Space,FLAT,$1.00,2HR,"(34.098215, -118.331105)"
WA525,2201 6TH ST,Single-Space,FLAT,$1.50,1HR,"(34.060368, -118.276503)"
TZ200,18901 VENTURA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.172526, -118.545447)"
SS388,1600 CORINTH AVE,Single-Space,FLAT,$1.50,2HR,"(34.045122, -118.448597)"
VW979,3601 3RD ST,Single-Space,FLAT,$1.50,1HR,"(34.069133, -118.295946)"
WA1424,1300 ALVARADO ST,Single-Space,FLAT,$1.50,1HR,"(34.046617, -118.282992)"
CB1552,1101 LOS ANGELES ST,Single-Space,TOD,$1.00 - $4.00,2HR,"(34.037734, -118.257773)"
PC129,1301 5TH AVE,Single-Space,FLAT,$1.50,2HR,"(34.047249, -118.322556)"
56459,10830 SANTA MONICA BLVD,Multi-Space,FLAT,$1.50,2HR,"(34.050097, -118.434666)"
VW767,3401 6TH ST,Single-Space,FLAT,$1.50,2HR,"(34.063674, -118.296399)"
BF119,300 FAIRFAX AVE,Single-Space,FLAT,$1.50,2HR,"(34.077522, -118.361338)"
SW220,701 WESTERN AVE,Single-Space,FLAT,$1.50,2HR,"(34.084109, -118.309258)"
HO115,1600 SCHRADER BLVD,Single-Space,TOD,$1.00 - $2.00,2HR,"(34.100718, -118.332408)"
L119,200 LARCHMONT BLVD,Single-Space,FLAT,$1.50,2HR,"(34.074719, -118.323517)"
BW128,11701 BARRINGTON CT,Single-Space,FLAT,$2.50,1HR,"(34.0643, -118.469653)"
WS76,1300 WESTWOOD BLVD,Single-Space,FLAT,$1.50,2HR,"(34.055819, -118.441925)"
VN199,6451 VAN NUYS BLVD,Single-Space,FLAT,$1.50,2HR,"(34.187968, -118.448868)"
SW498,5400 SIERRA VISTA AVE,Single-Space,FLAT,$1.50,2HR,"(34.089491, -118.309884)"
CB2442,501 MAPLE AVE,Single-Space,TOD,$1.00 - $4.00,2HR,"(34.044228, -118.247815)"
WA318,2100 8TH ST,Single-Space,FLAT,$1.50,1HR,"(34.055186, -118.278709)"
BH326,2400 1ST ST,Single-Space,FLAT,$1.50,1HR,"(34.043188, -118.208807)"
CC1225,300 LOS ANGELES ST,Single-Space,TOD,$1.00 - $5.00,2HR,"(34.048081, -118.245015)"
VN460,14600 VICTORY BLVD,Single-Space,FLAT,$1.50,2HR,"(34.186559, -118.451945)"
639017,4300 DEGNAN BLVD,Multi-Space,FLAT,$1.50,4HR,"(34.004895, -118.331378)"
WF23,8101 3RD ST,Single-Space,FLAT,$1.50,2HR,"(34.072287, -118.366441)"
WU1141,700 GARLAND AVE,Single-Space,FLAT,$1.50,2HR,"(34.050768, -118.266846)"
WF563,450 SAN VICENTE BLVD,Single-Space,FLAT,$1.50,2HR,"(34.070274, -118.375569)"
CB3841,800 SANTEE ST,Single-Space,TOD,$5.00 - $6.00,2HR,"(34.040406, -118.252777)"
ED290,1200 PALOMA ST,Single-Space,JUMP,$1/H - $4/10H,10HR,"(34.030574, -118.248136)"
PR647,1601 ROBERTSON BLVD,Single-Space,FLAT,$1.50,2HR,"(34.049341, -118.385296)"
WV50,1001 GAYLEY AVE,Single-Space,TOD,$1.50 - $3.00,2HR,"(34.060693, -118.447038)"
VW858,100 VERMONT AVE,Single-Space,FLAT,$1.50,1HR,"(34.071751, -118.291553)"
RA56,101 ROBERTSON BLVD,Single-Space,FLAT,$2.50,2HR,"(34.07585, -118.383825)"
VH258,4500 HOLLYWOOD BLVD,Single-Space,FLAT,$1.50,2HR,"(34.098858, -118.288355)"
BF203,7501 MELROSE AVE,Single-Space,FLAT,$1.50,2HR,"(34.083725, -118.353681)"
R558,18501 Wyandotte St,Single-Space,FLAT,$1.50,2HR,"(34.203005, -118.536529)"
CB1245,1201 OLIVE ST,Single-Space,FLAT,$1.00,4HR,"(34.038666, -118.26306)"
CC245,400 HILL ST,Single-Space,TOD,$1.00 - $2.00,4HR,"(34.057406, -118.242771)"
GA211,2900 LOS FELIZ BLVD,Single-Space,FLAT,$1.50,2HR,"(34.125741, -118.264021)"
WA1002,2100 OLYMPIC BLVD,Single-Space,FLAT,$1.50,2HR,"(34.051843, -118.280395)"
ER82,5000 EAGLE ROCK BLVD,Single-Space,FLAT,$1.50,1HR,"(34.137538, -118.214364)"
SL80,2100 HYPERION AVE,Single-Space,FLAT,$1.50,4HR,"(34.099785, -118.273348)"
VW1767,1300 MAGNOLIA AVE,Single-Space,FLAT,$1.50,2HR,"(34.046929, -118.286318)"
CP319,22101 SHERMAN WAY,Single-Space,FLAT,$1.50,2HR,"(34.201129, -118.609095)"
CC1316,200 3RD ST,Single-Space,TOD,$3.00 - $5.00,2HR,"(34.050515, -118.247447)"
CB3688,700 MAIN ST,Single-Space,TOD,$4.00 - $7.00,2HR,"(34.043528, -118.251811)"
WW572,651 ARDMORE AVE,Single-Space,FLAT,$1.50,2HR,"(34.061405, -118.302068)"
CC921,801 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.00,2HR,"(34.061532, -118.244788)"
ED147,1001 CENTRAL AVE,Single-Space,FLAT,$2.00,2HR,"(34.031213, -118.244758)"
PR321,1100 CARDIFF AVE,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.055563, -118.39175)"
RA188,8701 3RD ST,Single-Space,FLAT,$2.50,2HR,"(34.073652, -118.383034)"
MD158,1601 MARENGO ST,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.059544, -118.213229)"
WV153,900 LEVERING AVE,Single-Space,TOD,$0.50 - $3.00,2HR,"(34.063347, -118.448759)"
WU1183A,1100 8TH ST,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.049622, -118.266437)"
BW55,101 BARRINGTON PL,Single-Space,FLAT,$2.50,1HR,"(34.066202, -118.469197)"
TZ57,18300 CLARK ST,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.169722, -118.533066)"
ED163,1101 12TH ST,Single-Space,JUMP,$1/H - $4/10H,10HR,"(34.030836, -118.246667)"
VS519,1201 VERMONT AVE,Single-Space,FLAT,$1.50,2HR,"(34.095044, -118.291873)"
CB1748,101 12TH ST,Single-Space,FLAT,$1.00,2HR,"(34.03716, -118.258597)"
BH24,2401 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.50,1HR,"(34.046099, -118.20597)"
WF397,6301 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.063582, -118.365799)"
SW407,5200 SANTA MONICA BLVD,Single-Space,FLAT,$1.50,1HR,"(34.090713, -118.304368)"
SL43,2601 HYPERION AVE,Single-Space,FLAT,$1.50,2HR,"(34.106195, -118.272655)"
TZ127,18501 VENTURA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.169615, -118.537791)"
C468C,501 31ST ST,Single-Space,FLAT,$1.50,2HR,"(34.02404, -118.278179)"
VN318,6301 VAN NUYS BLVD,Single-Space,FLAT,$1.50,2HR,"(34.185424, -118.448863)"
SS117,11300 SANTA MONICA BLVD,Single-Space,FLAT,$1.50,1HR,"(34.046179, -118.449107)"
WW348,3951 6TH ST,Single-Space,FLAT,$1.50,1HR,"(34.063599, -118.310005)"
